type	fixed_acidity	volatile_acidity	citric_acid	residual_sugar	chlorides	free_sulfur_dioxide	total_sulfur_dioxide	density	pH	sulphates	alcohol	quality	rnum
white	8.5000000000	0.2600000000	0.2100000000	16.2000000000	0.0740000000	41.0000000000	197.0000000000	0.9980000000	3.0200000000	0.5000000000	9.8000000000	3	1
white	5.8000000000	0.2400000000	0.4400000000	3.5000000000	0.0290000000	5.0000000000	109.0000000000	0.9913000000	3.5300000000	0.4300000000	11.7000000000	3	2
white	9.1000000000	0.5900000000	0.3800000000	1.6000000000	0.0660000000	34.0000000000	182.0000000000	0.9968000000	3.2300000000	0.3800000000	8.5000000000	3	3
white	7.1000000000	0.3200000000	0.3200000000	11.0000000000	0.0380000000	16.0000000000	66.0000000000	0.9937000000	3.2400000000	0.4000000000	11.5000000000	3	4
white	6.9000000000	0.3900000000	0.4000000000	4.6000000000	0.0220000000	5.0000000000	19.0000000000	0.9915000000	3.3100000000	0.3700000000	12.6000000000	3	5
white	10.3000000000	0.1700000000	0.4700000000	1.4000000000	0.0370000000	5.0000000000	33.0000000000	0.9939000000	2.8900000000	0.2800000000	9.6000000000	3	6
white	7.9000000000	0.6400000000	0.4600000000	10.6000000000	0.2440000000	33.0000000000	227.0000000000	0.9983000000	2.8700000000	0.7400000000	9.1000000000	3	7
white	8.3000000000	0.3300000000	0.4200000000	1.1500000000	0.0330000000	18.0000000000	96.0000000000	0.9911000000	3.2000000000	0.3200000000	12.4000000000	3	8
white	8.6000000000	0.5500000000	0.3500000000	15.5500000000	0.0570000000	35.5000000000	366.5000000000	1.0001000000	3.0400000000	0.6300000000	11.0000000000	3	9
white	7.5000000000	0.3200000000	0.2400000000	4.6000000000	0.0530000000	8.0000000000	134.0000000000	0.9958000000	3.1400000000	0.5000000000	9.1000000000	3	10
white	6.7000000000	0.2500000000	0.2600000000	1.5500000000	0.0410000000	118.5000000000	216.0000000000	0.9949000000	3.5500000000	0.6300000000	9.4000000000	3	11
white	7.1000000000	0.4900000000	0.2200000000	2.0000000000	0.0470000000	146.5000000000	307.5000000000	0.9924000000	3.2400000000	0.3700000000	11.0000000000	3	12
white	11.8000000000	0.2300000000	0.3800000000	11.1000000000	0.0340000000	15.0000000000	123.0000000000	0.9997000000	2.9300000000	0.5500000000	9.7000000000	3	13
white	7.6000000000	0.4800000000	0.3700000000	1.2000000000	0.0340000000	5.0000000000	57.0000000000	0.9925600000	3.0500000000	0.5400000000	10.4000000000	3	14
white	6.1000000000	0.2000000000	0.3400000000	9.5000000000	0.0410000000	38.0000000000	201.0000000000	0.9950000000	3.1400000000	0.4400000000	10.1000000000	3	15
white	4.2000000000	0.2150000000	0.2300000000	5.1000000000	0.0410000000	64.0000000000	157.0000000000	0.9968800000	3.4200000000	0.4400000000	8.0000000000	3	16
white	9.4000000000	0.2400000000	0.2900000000	8.5000000000	0.0370000000	124.0000000000	208.0000000000	0.9939500000	2.9000000000	0.3800000000	11.0000000000	3	17
white	6.2000000000	0.2300000000	0.3500000000	0.7000000000	0.0510000000	24.0000000000	111.0000000000	0.9916000000	3.3700000000	0.4300000000	11.0000000000	3	18
white	6.8000000000	0.2600000000	0.3400000000	15.1000000000	0.0600000000	42.0000000000	162.0000000000	0.9970500000	3.2400000000	0.5200000000	10.5000000000	3	19
white	6.1000000000	0.2600000000	0.2500000000	2.9000000000	0.0470000000	289.0000000000	440.0000000000	0.9931400000	3.4400000000	0.6400000000	10.5000000000	3	20
white	7.1000000000	0.2400000000	0.3400000000	1.2000000000	0.0450000000	6.0000000000	132.0000000000	0.9913200000	3.1600000000	0.4600000000	11.2000000000	4	1
white	6.0000000000	0.5900000000	0.0000000000	0.8000000000	0.0370000000	30.0000000000	95.0000000000	0.9903200000	3.1000000000	0.4000000000	10.9000000000	4	2
white	6.8000000000	0.6300000000	0.0400000000	1.3000000000	0.0580000000	25.0000000000	133.0000000000	0.9927100000	3.1700000000	0.3900000000	10.2000000000	4	3
white	6.8000000000	0.6300000000	0.0400000000	1.3000000000	0.0580000000	25.0000000000	133.0000000000	0.9927100000	3.1700000000	0.3900000000	10.2000000000	4	4
white	6.0000000000	0.3500000000	0.4600000000	0.9000000000	0.0330000000	9.0000000000	65.0000000000	0.9893400000	3.2400000000	0.3500000000	12.1000000000	4	5
white	5.2000000000	0.4050000000	0.1500000000	1.4500000000	0.0380000000	10.0000000000	44.0000000000	0.9912500000	3.5200000000	0.4000000000	11.6000000000	4	6
white	6.2000000000	0.5300000000	0.0200000000	0.9000000000	0.0350000000	6.0000000000	81.0000000000	0.9923400000	3.2400000000	0.3500000000	9.5000000000	4	7
white	6.3000000000	0.2800000000	0.2200000000	9.5000000000	0.0400000000	30.0000000000	111.0000000000	0.9933800000	3.0500000000	0.3100000000	10.8000000000	4	8
white	5.8000000000	0.2800000000	0.1800000000	1.2000000000	0.0580000000	7.0000000000	108.0000000000	0.9928800000	3.2300000000	0.5800000000	9.5500000000	4	9
white	5.8000000000	0.2600000000	0.3000000000	2.6000000000	0.0340000000	75.0000000000	129.0000000000	0.9902000000	3.2000000000	0.3800000000	11.5000000000	4	10
white	6.0000000000	0.6150000000	0.0400000000	0.8000000000	0.0320000000	8.0000000000	50.0000000000	0.9903600000	3.1400000000	0.4000000000	11.0000000000	4	11
white	7.4000000000	0.2700000000	0.3100000000	2.4000000000	0.0140000000	15.0000000000	143.0000000000	0.9909400000	3.0300000000	0.6500000000	12.0000000000	4	12
white	8.5000000000	0.1800000000	0.3000000000	1.1000000000	0.0280000000	34.0000000000	95.0000000000	0.9927200000	2.8300000000	0.3600000000	10.0000000000	4	13
white	6.5000000000	0.3200000000	0.4800000000	8.0000000000	0.0260000000	18.0000000000	88.0000000000	0.9914400000	3.2200000000	0.7900000000	12.7000000000	4	14
white	7.3000000000	0.3600000000	0.5400000000	13.3000000000	0.0540000000	63.0000000000	193.0000000000	0.9986400000	3.0600000000	0.4900000000	8.6000000000	4	15
white	4.8000000000	0.6500000000	0.1200000000	1.1000000000	0.0130000000	4.0000000000	10.0000000000	0.9924600000	3.3200000000	0.3600000000	13.5000000000	4	16
white	6.8000000000	0.7300000000	0.2000000000	6.6000000000	0.0540000000	25.0000000000	65.0000000000	0.9932400000	3.1200000000	0.2800000000	11.1000000000	4	17
white	8.7000000000	0.3100000000	0.2100000000	5.6000000000	0.0390000000	28.0000000000	67.0000000000	0.9932800000	2.9600000000	0.5200000000	11.0000000000	4	18
white	6.3000000000	0.2700000000	0.5100000000	7.6000000000	0.0490000000	35.0000000000	200.0000000000	0.9954800000	3.1600000000	0.5400000000	9.4000000000	4	19
white	7.3000000000	0.3800000000	0.2300000000	6.5000000000	0.0500000000	18.0000000000	102.0000000000	0.9930400000	3.1000000000	0.5500000000	11.2000000000	4	20
white	6.3000000000	0.2700000000	0.5100000000	7.6000000000	0.0490000000	35.0000000000	200.0000000000	0.9954800000	3.1600000000	0.5400000000	9.4000000000	4	21
white	6.4000000000	0.3700000000	0.1200000000	5.9000000000	0.0560000000	6.0000000000	91.0000000000	0.9953600000	3.0600000000	0.4600000000	8.4000000000	4	22
white	6.1000000000	1.1000000000	0.1600000000	4.4000000000	0.0330000000	8.0000000000	109.0000000000	0.9905800000	3.3500000000	0.4700000000	12.4000000000	4	23
white	6.6000000000	0.3500000000	0.1900000000	10.5000000000	0.0600000000	15.0000000000	82.0000000000	0.9958800000	3.1300000000	0.3800000000	9.9000000000	4	24
white	6.6000000000	0.3100000000	0.3700000000	6.2000000000	0.0520000000	13.0000000000	164.0000000000	0.9960200000	3.2400000000	0.3900000000	8.8000000000	4	25
white	6.5000000000	0.3800000000	0.5300000000	1.4000000000	0.1420000000	5.0000000000	69.0000000000	0.9926000000	3.1400000000	0.5200000000	10.1000000000	4	26
white	6.1000000000	0.3800000000	0.1400000000	3.9000000000	0.0600000000	27.0000000000	113.0000000000	0.9934400000	3.0700000000	0.3400000000	9.2000000000	4	27
white	6.1000000000	0.3800000000	0.1400000000	3.9000000000	0.0600000000	27.0000000000	113.0000000000	0.9934400000	3.0700000000	0.3400000000	9.2000000000	4	28
white	5.3000000000	0.4300000000	0.1100000000	1.1000000000	0.0290000000	6.0000000000	51.0000000000	0.9907600000	3.5100000000	0.4800000000	11.2000000000	4	29
white	7.2000000000	0.1800000000	0.4100000000	1.2000000000	0.0480000000	41.0000000000	97.0000000000	0.9919000000	3.1400000000	0.4500000000	10.4000000000	5	1
white	5.7000000000	0.2600000000	0.2500000000	10.4000000000	0.0200000000	7.0000000000	57.0000000000	0.9940000000	3.3900000000	0.3700000000	10.6000000000	5	2
white	7.1000000000	0.3700000000	0.6700000000	10.5000000000	0.0450000000	49.0000000000	155.0000000000	0.9975000000	3.1600000000	0.4400000000	8.7000000000	5	3
white	6.3000000000	0.3100000000	0.3400000000	2.2000000000	0.0450000000	20.0000000000	77.0000000000	0.9927000000	3.3000000000	0.4300000000	10.2000000000	5	4
white	7.1000000000	0.3700000000	0.6700000000	10.5000000000	0.0450000000	49.0000000000	155.0000000000	0.9975000000	3.1600000000	0.4400000000	8.7000000000	5	5
white	7.2000000000	0.3100000000	0.5000000000	13.3000000000	0.0560000000	68.0000000000	195.0000000000	0.9982000000	3.0100000000	0.4700000000	9.2000000000	5	6
white	7.3000000000	0.3200000000	0.4800000000	13.3000000000	0.0600000000	57.0000000000	196.0000000000	0.9982000000	3.0400000000	0.5000000000	9.2000000000	5	7
white	5.9000000000	0.3600000000	0.0400000000	5.7000000000	0.0460000000	21.0000000000	87.0000000000	0.9934000000	3.2200000000	0.5100000000	10.2000000000	5	8
white	7.8000000000	0.2400000000	0.3200000000	12.2000000000	0.0540000000	42.0000000000	138.0000000000	0.9984000000	3.0100000000	0.5400000000	8.8000000000	5	9
white	7.4000000000	0.1600000000	0.3100000000	6.8500000000	0.0590000000	31.0000000000	131.0000000000	0.9952000000	3.2900000000	0.3400000000	9.7000000000	5	10
white	7.4000000000	0.3900000000	0.2300000000	7.0000000000	0.0330000000	29.0000000000	126.0000000000	0.9940000000	3.1400000000	0.4200000000	10.5000000000	5	11
white	6.5000000000	0.4250000000	0.4000000000	13.1000000000	0.0380000000	59.0000000000	241.0000000000	0.9979000000	3.2300000000	0.5700000000	9.0000000000	5	12
white	6.6000000000	0.2400000000	0.2700000000	15.8000000000	0.0350000000	46.0000000000	188.0000000000	0.9982000000	3.2400000000	0.5100000000	9.2000000000	5	13
white	6.8000000000	0.2700000000	0.2200000000	8.1000000000	0.0340000000	55.0000000000	203.0000000000	0.9961000000	3.1900000000	0.5200000000	8.9000000000	5	14
white	6.7000000000	0.2700000000	0.3100000000	15.7000000000	0.0360000000	44.0000000000	179.0000000000	0.9979000000	3.2600000000	0.5600000000	9.6000000000	5	15
white	6.9000000000	0.3300000000	0.2800000000	1.3000000000	0.0510000000	37.0000000000	187.0000000000	0.9927000000	3.2700000000	0.6000000000	10.3000000000	5	16
white	7.2000000000	0.2700000000	0.4600000000	18.7500000000	0.0520000000	45.0000000000	255.0000000000	1.0000000000	3.0400000000	0.5200000000	8.9000000000	5	17
white	7.2000000000	0.3100000000	0.5000000000	13.3000000000	0.0560000000	68.0000000000	195.0000000000	0.9982000000	3.0100000000	0.4700000000	9.2000000000	5	18
white	6.7000000000	0.4100000000	0.3400000000	9.2000000000	0.0490000000	29.0000000000	150.0000000000	0.9968000000	3.2200000000	0.5100000000	9.1000000000	5	19
white	6.7000000000	0.4100000000	0.3400000000	9.2000000000	0.0490000000	29.0000000000	150.0000000000	0.9968000000	3.2200000000	0.5100000000	9.1000000000	5	20
white	7.4000000000	0.2500000000	0.3700000000	13.5000000000	0.0600000000	52.0000000000	192.0000000000	0.9975000000	3.0000000000	0.4400000000	9.1000000000	5	21
white	7.1000000000	0.1200000000	0.3200000000	9.6000000000	0.0540000000	64.0000000000	162.0000000000	0.9962000000	3.4000000000	0.4100000000	9.4000000000	5	22
white	6.0000000000	0.2100000000	0.2400000000	12.1000000000	0.0500000000	55.0000000000	164.0000000000	0.9970000000	3.3400000000	0.3900000000	9.4000000000	5	23
white	7.5000000000	0.3050000000	0.4000000000	18.9000000000	0.0590000000	44.0000000000	170.0000000000	1.0000000000	2.9900000000	0.4600000000	9.0000000000	5	24
white	7.4000000000	0.2500000000	0.3700000000	13.5000000000	0.0600000000	52.0000000000	192.0000000000	0.9975000000	3.0000000000	0.4400000000	9.1000000000	5	25
white	7.1000000000	0.1200000000	0.3200000000	9.6000000000	0.0540000000	64.0000000000	162.0000000000	0.9962000000	3.4000000000	0.4100000000	9.4000000000	5	26
white	7.4000000000	0.1800000000	0.3000000000	8.8000000000	0.0640000000	26.0000000000	103.0000000000	0.9961000000	2.9400000000	0.5600000000	9.3000000000	5	27
white	6.7000000000	0.5400000000	0.2800000000	5.4000000000	0.0600000000	21.0000000000	105.0000000000	0.9949000000	3.2700000000	0.3700000000	9.0000000000	5	28
white	7.4000000000	0.2400000000	0.2900000000	10.1000000000	0.0500000000	21.0000000000	105.0000000000	0.9962000000	3.1300000000	0.3500000000	9.5000000000	5	29
white	5.3000000000	0.3100000000	0.3800000000	10.5000000000	0.0310000000	53.0000000000	140.0000000000	0.9932100000	3.3400000000	0.4600000000	11.7000000000	6	1
white	5.3000000000	0.3100000000	0.3800000000	10.5000000000	0.0310000000	53.0000000000	140.0000000000	0.9932100000	3.3400000000	0.4600000000	11.7000000000	6	2
white	5.2000000000	0.1850000000	0.2200000000	1.0000000000	0.0300000000	47.0000000000	123.0000000000	0.9921800000	3.5500000000	0.4400000000	10.1500000000	6	3
white	5.5000000000	0.1600000000	0.3100000000	1.2000000000	0.0260000000	31.0000000000	68.0000000000	0.9898000000	3.3300000000	0.4400000000	11.6333333300	6	4
white	6.0000000000	0.1700000000	0.3600000000	1.7000000000	0.0420000000	14.0000000000	61.0000000000	0.9914400000	3.2200000000	0.5400000000	10.8000000000	6	5
white	6.0000000000	0.1600000000	0.3600000000	1.6000000000	0.0420000000	13.0000000000	61.0000000000	0.9914300000	3.2200000000	0.5400000000	10.8000000000	6	6
